iccs,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS020221,NR,UKC-L	3012 	2194 	1728 	1388 	1516 	1717 	1860 	2035 
ICCS020221,NR,UKM	: 	234 	254 	227 	219 	260 	269 	319 
ICCS020221,NR,UKN	65 	44 	59 	45 	66 	56 	82 	83 
ICCS020221,NR,XK	25 	22 	34 	33 	31 	43 	50 	46 
ICCS020221,P_HTHAB,AL	: 	: 	: 	: 	0.07 	: 	0.16 	0.32 
ICCS020221,P_HTHAB,AT	0.03 	0.01 	0.05 	0.13 	0.06 	0.11 	0.06 	0.13 
ICCS020221,P_HTHAB,BA	: 	: 	: 	0.05 	0.03 	0.03 	0.16 	0.21 
ICCS020221,P_HTHAB,BE	10.17 	10.25 	10.42 	10.68 	10.85 	10.35 	10.04 	9.50 
ICCS020221,P_HTHAB,BG	1.03 	1.31 	1.19 	1.02 	1.04 	1.59 	1.90 	1.69 
ICCS020221,P_HTHAB,CH	0.05 	0.01 	0.04 	0.06 	0.05 	0.00 	4.66 	4.07 
ICCS020221,P_HTHAB,CY	2.83 	2.45 	2.19 	3.48 	2.98 	3.30 	3.26 	1.55 
ICCS020221,P_HTHAB,CZ	0.04 	0.11 	0.10 	0.08 	0.08 	0.10 	0.07 	0.08 
ICCS020221,P_HTHAB,DE	5.90 	6.20 	6.16 	6.45 	6.14 	5.99 	6.25 	2.26 
ICCS020221,P_HTHAB,EE	0.00 	0.00 	0.08 	0.00 	0.23 	0.00 	0.00 	0.15 
ICCS020221,P_HTHAB,EL	0.82 	0.53 	0.86 	1.25 	1.42 	1.56 	0.14 	0.27 
ICCS020221,P_HTHAB,ES	0.20 	0.21 	0.26 	0.25 	0.24 	0.27 	0.37 	0.52 
ICCS020221,P_HTHAB,FI	0.02 	0.02 	0.02 	0.02 	0.06 	0.02 	0.06 	0.00 
ICCS020221,P_HTHAB,FR	5.99 	4.48 	3.45 	3.24 	3.44 	3.24 	3.24 	3.24 
ICCS020221,P_HTHAB,HR	0.00 	0.02 	0.02 	0.14 	0.14 	0.30 	0.28 	0.37 
ICCS020221,P_HTHAB,HU	0.11 	0.03 	0.07 	0.09 	0.12 	0.18 	0.14 	0.11 
